county_name,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,Households,Mean,Stdev
"Holmes County, MS",65.11829824,1,0,0,11,15,5,2,0,18428,2366.0,59292.36752080502,178578500.4660951
"Meade County, KY",65.04621705,0,3,4,12,111,98,16,1,29210,2543.0,95701.9149727611,178578500.4660951
"Middlesex County, VA",65.04367218,0,4,0,3,19,35,1,0,10762,634.0,91301.56888555843,119052333.64406338
"Grundy County, IA",64.96670456,0,0,0,8,13,57,3,1,12314,2412.0,111960.26355040325,178578500.4660951
"Chickasaw County, IA",64.92979466,1,1,0,6,28,45,3,0,12321,847.0,67156.88383213509,238104667.28812677
"Miami County, OH",64.77247460000001,1,17,35,13,561,2340,78,20,103439,20543.0,91633.92979812148,357157000.9321901
"Carroll County, IN",64.72169670000001,0,3,1,9,95,206,27,0,20086,1605.0,76876.81795330791,178578500.4660951
"Matanuska-Susitna Borough, AK",64.08101521,0,4,8,49,77,511,28,8,95192,7758.0,140984.69703128352,773840168.6864121
"Harrison County, OH",64.01229036,0,5,1,4,61,112,13,0,15622,2161.0,93033.6683762562,357157000.9321901
"Rowan County, KY",63.75653504,0,6,4,5,66,228,10,1,23527,2221.0,76704.05028442001,119052333.64406338
"Pike County, OH",63.45401347,3,3,5,7,88,310,19,6,28367,3000.0,90301.47615853949,297630834.11015844
"Lee County, MS",63.27630654,0,3,7,44,299,464,31,20,85340,1504.0,74334.28255289656,178578500.4660951
"Hickman County, KY",63.22444679,0,0,0,2,11,17,4,0,4745,67.0,56545.005004149294,59526166.82203169
"Wright County, MN",63.04973924,0,12,8,61,233,2016,82,10,128470,14188.0,126725.74563539732,416683167.7542218
"Carver County, MN",62.78646324,1,21,7,31,162,901,25,7,95562,21752.0,170380.30761725892,416683167.7542218
"Tattnall County, GA",62.68118781,0,2,2,12,129,246,34,0,25526,299.0,43982.19393223496,178578500.4660951
"Throckmorton County, TX",62.5,0,0,0,1,1,4,0,0,1600,115.0,59822.7003144559,59526166.82203169
"Windham County, CT",62.07271862,0,11,21,41,194,561,74,8,117604,14096.0,93645.80079246101,476209334.5762535
"Amite County, MS",62.02031165,1,0,1,5,1,1,1,0,12899,71.0,51960.0834134029,59526166.82203169
"Newton County, AR",62.00396825,0,5,0,0,12,7,0,0,8064,405.0,116881.53539442214,119052333.64406338
"Antelope County, NE",61.95786865,2,0,0,2,4,10,0,0,6456,1504.0,105593.85829784084,357157000.9321901
"Waukesha County, WI",61.95362111,4,38,48,154,746,4143,115,2,393843,72501.0,160662.12054390245,1130997169.6186025
"Pike County, GA",61.81164307,0,3,2,6,44,69,1,0,17796,185.0,63990.0287911569,119052333.64406338
"Dubois County, IN",61.37721017,0,2,0,24,42,210,14,0,42361,6288.0,120809.17587790971,119052333.64406338
"Washington County, RI",60.98575151,1,14,14,48,346,1627,68,10,126259,4019.0,166729.46894885894,416683167.7542218
"Scotland County, MO",60.96321886,0,0,0,3,24,57,2,0,4921,856.0,56579.06636083617,119052333.64406338
"De Witt County, IL",60.90133983,0,1,1,8,13,42,0,1,16420,4479.0,99696.1203489586,297630834.11015844
"Burt County, NE",60.84575601,0,0,0,4,11,22,2,0,6574,1213.0,87826.90696619418,178578500.4660951
"McDuffie County, GA",60.28286575,1,1,1,10,107,161,15,0,21565,193.0,51741.1482288529,59526166.82203169
